uid,len_var_oncampus,start_time_var_oncampus,end_time_var_oncampus,len_var_mon,len_var_tue,len_var_wed,len_var_thr,len_var_fri,start_time_var_mon,start_time_var_tue,start_time_var_wed,start_time_var_thr,start_time_var_fri,end_time_var_mon,end_time_var_tue,end_time_var_wed,end_time_var_thr,end_time_var_fri,num_days_activity_oncampus,stat_rate_oncampus,walk_rate_oncampus,run_rate_oncampus,nearby_entropy_30days_oncampus,nearby_total_30days_oncampus,nearby_num_unique_30days_oncampus,nearby_num_friends_30days_oncampus,day_entropy_oncampus_30days,evening_entropy_oncampus_30days,night_entropy_oncampus_30days,daily_day_oncampus,daily_evening_oncampus,daily_night_oncampus,early_oncampus,late_oncampus,absent_oncampus,late_time_var_oncampus,days_oncampus,views_oncampus,contributions_oncampus,questions_oncampus,notes_oncampus,answers_oncampus,extra
15,0.828,2.49,-0.201,0.3,-0.397,0.716,-1.062,-0.622,0.967,2.871,0.515,2.909,-0.883,-1.325,0.303,0.162,0.436,-1.184,-1.471,0.06,-0.469,-0.772,0.635,-0.396,-0.088,-1.067,0.064,0.765,0.818,-0.666,-0.502,-0.715,-0.077,-0.103,0.191,-0.629,-0.546,-0.743,-0.602,-0.56,-0.48,-0.622,3.25
16,-0.582,-0.686,-1.159,-0.681,-0.713,-0.08,0.007,-0.303,-0.972,-0.39,-0.492,-0.708,0.755,-1.374,-0.627,0.732,-1.08,-1.496,0.603,0.407,-0.103,-0.446,0.331,-0.438,-0.721,-1.067,-0.107,0.348,-0.744,-0.223,-0.578,-0.733,1.231,-0.267,-1.261,0.461,-0.374,-0.535,-0.781,-0.74,-0.48,-0.622,1.75
17,-0.509,-1.059,-1.865,-0.293,-0.637,-1.02,0.373,-0.63,-1.039,0.412,-0.975,-0.706,-0.958,-1.435,-1.632,-1.242,-0.935,-1.14,0.725,0.727,-0.738,-0.67,0.281,0.113,0.139,-0.509,0.501,-0.027,-1.121,-0.452,-0.665,-0.734,-0.118,0.767,-0.573,-0.731,0.543,1.032,1.278,1.24,1.679,1.206,2.625
18,0.379,0.761,-0.124,0.135,-0.429,0.229,0.323,-0.701,1.182,1.241,-0.496,-0.897,2.419,0.348,0.355,0.002,0.31,-1.356,-0.007,0.893,-0.853,-0.738,0.379,-0.23,-0.274,-1.067,0.251,0.483,1.96,-0.037,2.696,2.009,-1.312,1.691,0.028,0.216,0.027,0.614,-0.512,-0.2,0.6,-0.622,2.625
19,-0.897,-0.56,0.919,-0.195,-0.839,-0.399,-0.296,-1.21,-0.989,-0.585,1.718,-0.55,-0.9,0.849,1.622,0.536,1.67,-0.04,0.847,0.594,-0.353,-1.026,0.264,0.148,0.506,-0.509,-0.201,0.421,-0.574,-0.126,0.036,-0.638,0.943,0.245,-1.386,-0.706,1.289,0.957,0.741,-0.02,-0.48,2.12,1.75
20,-0.416,1.038,0.522,0.26,-0.612,-1.016,-0.818,-0.805,2.024,-0.563,0.566,-0.949,2.326,0.5,0.9,0.783,-0.924,0.241,-1.227,1.261,-1.017,-0.964,-1.472,-0.453,-0.738,1.162,-1.658,-0.184,-1.044,-0.69,-0.613,-0.228,-1.103,-0.924,2.218,-0.527,0.887,-0.833,-0.87,-0.74,-0.48,-0.622,3.875
22,-0.452,0.238,0.325,-0.18,-0.237,0.254,-0.291,0.023,1.22,-0.619,1.21,0.836,-0.038,-0.276,-0.174,-0.062,0.674,1.702,0.359,0.158,-0.598,0.685,-0.216,-1.012,-0.421,1.162,0.07,-0.948,0.168,-0.866,-0.727,-0.695,-0.704,-0.582,1.408,-0.739,0.945,-0.162,0.204,-0.02,-0.48,-0.165,3.625
23,-0.612,0.804,-1.563,-0.848,-0.548,-0.817,-0.232,-1.087,-0.374,1.452,0.647,-0.142,0.87,-1.41,-1.663,-0.731,-1.035,-0.948,-0.129,1.308,-1.291,-0.845,-1.365,-0.408,-1.349,1.162,-1.363,-3.106,1.443,-0.736,-0.663,-0.326,-0.269,-1.197,1.451,0.873,1.059,-0.162,-0.87,-0.74,-0.48,-0.622,3
24,1.169,0.204,0.398,-0.668,-0.038,1.168,-0.238,1.559,-0.64,0.126,1.24,-0.293,-0.38,0.06,-0.296,0.282,-1.005,1.133,-3.301,0.238,-0.008,0.3,-0.929,1.483,-0.619,0.605,-1.26,-0.093,0.185,-0.627,-0.296,-0.336,-0.928,-0.003,1.141,-0.17,-1.177,-1.31,-0.691,-0.74,-0.48,-0.622,3.5
27,-0.912,1.759,-1.138,-0.974,-1.006,-0.969,0.289,-0.355,-0.985,0.664,-0.662,-0.346,1.566,-1.192,0.306,-1.129,-0.946,-1.132,0.847,0.852,-0.912,-0.722,0.67,-0.682,0.715,-0.509,0.689,0.795,-2.066,-0.49,-0.371,-0.586,-2.041,2.448,0.214,-0.733,1.059,0.928,-0.423,-0.56,-0.48,-0.165,2.5
30,0.043,-1.309,1.229,2.662,-0.414,0.422,0.759,0.201,-1.153,-0.749,-0.458,-0.682,-0.984,0.971,1.097,0.761,-0.054,-0.357,0.603,-1.107,0.821,-0.283,1.472,0.703,2.174,-0.509,1.607,1.284,0.459,2.679,1.283,1.799,1.341,-0.625,-1.061,3.424,0.601,0.853,1.01,0.7,-0.48,-0.165,4.5
32,2.602,-0.023,1.484,2.621,2.736,-0.484,0.965,0.748,-0.173,-0.77,0.593,0.557,1.079,0.136,0.016,0.917,2.179,1.994,0.481,-1.002,1.078,0.047,0.738,-0.149,0.144,-0.509,0.573,0.528,0.574,2.366,-0.253,0.188,-0.251,1.289,-0.898,2.531,0.199,0.928,-0.602,-0.38,-0.48,-0.622,4.25
33,-0.483,1.447,1.098,-0.941,-0.909,0.016,-1.286,-0.367,-0.528,-0.789,-0.457,0.447,-0.222,1.197,1.589,-0.037,1.25,0.305,-0.373,0.218,0.051,-0.533,-2.13,-0.299,-0.749,0.605,-1.815,-1.412,-1.321,-0.824,-0.738,-0.461,-0.217,-0.103,0.363,-0.225,-0.489,0.793,1.457,-0.38,3.838,-0.165,2.875
43,-0.44,1.257,-0.087,-0.318,-0.41,0.702,0.24,0.31,0.426,-0.037,3.469,0.358,-0.969,0.499,0.015,-0.216,-0.041,-0.421,-0.007,-0.506,0.361,0.07,0.655,-0.325,-0.037,-1.067,0.385,0.626,0.201,-0.663,-0.385,-0.808,0.731,-0.486,-0.442,-0.74,-0.26,0.301,1.368,1.6,-0.48,-0.622,2.375
46,3.548,0.133,0.895,-0.535,3.402,2.376,-0.371,-0.988,-0.368,-0.745,0.987,1.546,-0.063,1.275,1.292,-1.343,0.394,0.549,-0.495,-2.282,2.403,2.447,0.965,1.434,1.682,-0.509,1.266,1.26,0.896,1.302,-0.26,0.069,-1.433,0.535,1.259,-0.027,1.174,0.972,0.204,0.52,-0.48,-0.165,3.125
50,-0.936,-0.669,-0.656,-0.495,-1.021,-1.319,-1.191,-1.156,-0.437,-0.636,-0.561,0.539,-0.259,-0.12,-1.93,0.596,-1.163,0.912,-2.081,1.042,-1.428,-1.074,-1.059,2.515,-1.405,2.276,-1.276,-0.626,1.222,0.893,0.566,1.557,-0.582,0.854,-0.084,-0.149,-1.923,-1.743,-0.154,-0.74,-0.48,3.492,3.875
52,-0.506,-0.345,-0.799,1.722,1.034,2.227,1.705,2.826,0.271,-0.55,0.561,-0.095,-0.065,-1.545,0.432,-1.242,-0.898,0.939,0.725,0,0,0,-1.403,-1.166,-1.298,1.719,-1.226,-1.065,-0.732,-0.201,-0.298,0.066,1.076,-0.973,-0.41,-0.449,-0.317,-0.43,-1.049,-0.74,-0.48,-0.622,1.625
53,-1.001,0.427,-1.214,-0.516,-0.675,-1.311,-1.022,-0.571,-0.319,-0.375,0.827,1.254,1.095,-0.643,-1.03,-1.008,-0.935,-0.121,0.603,1.067,-1.151,-0.936,-0.296,0.593,-0.998,0.605,-0.029,-0.476,0.035,-0.394,-0.665,-0.499,-0.035,0.375,-0.308,1.966,-0.432,0.823,-1.049,-0.74,-0.48,-0.622,2.25
54,0.332,0.82,0.476,0.729,0.172,-0.305,0.421,-1.135,0.751,1.258,-0.348,-0.465,-0.169,-1.565,-1.918,0.54,1.053,0.158,-1.471,-0.558,0.732,-0.103,0.883,1.586,1.631,0.048,1.114,1.22,1.033,-0.556,-0.275,-0.44,-1.699,1.107,1.049,-0.565,-0.833,-1.34,-0.781,-0.56,-0.48,-0.622,3
57,-0.121,-0.619,1.036,0.659,0.488,-0.386,1.153,-0.54,1.923,-0.315,-0.644,-0.721,-0.947,0.985,0.939,1.301,0.386,1.056,0.847,-1.509,0.939,2.336,0.314,-0.294,-0.105,0.048,0.213,0.427,-0.022,1.228,1.195,2.287,1.315,-0.486,-1.159,0.057,0.142,0.928,0.473,-0.2,0.6,0.749,2.125
58,-0.765,1.138,-1.427,-1.011,-0.931,-0.54,-0.851,-0.261,0.815,-0.053,1.824,1.282,0.167,-1.093,-0.705,-1.362,-0.935,-0.874,0.603,0.469,-0.505,-0.396,0.088,-1.65,-1.332,-1.067,-0.637,-0.512,-0.736,-0.876,-0.726,-0.799,0.356,0.17,-0.596,-0.321,-1.579,-1.519,-0.87,-0.74,-0.48,-0.622,2.125
59,0.533,-0.018,1.394,-0.848,0.863,-0.355,0.025,1.218,-0.807,1.798,-0.207,-0.593,-0.731,1.678,1.171,1.891,0.988,0.139,0.847,-2.053,1.707,0.967,-0.025,-0.322,-0.178,-0.509,0.152,0.6,0.056,-0.779,-0.52,-0.496,1.158,-0.987,-0.497,1.611,0.486,0.972,-0.154,-0.38,-0.48,-0.165,4
